Source,Target,counts,total_transaction_amount,Risk Index,Weight
CUST11892041,CUST56743898,1,4961,0.3,1488.3
CUST11892041,CUST99163899,1,6710,0.3,2013
CUST11892041,EXTERNAL718485,1,13517,0.3,4055.1
CUST11943516,CUST59407582,1,3945,0.3,1183.5
CUST12065154,CUST82211624,1,378.5,0.3,113.55
CUST12079522,EXTERNAL359693,1,112,0.3,33.6
CUST12121888,CUST77650473,1,371.5,0.6,222.9
CUST12175325,CUST12910352,1,3700,0.3,1110
CUST12175325,EXTERNAL655604,1,1065.5,0.3,319.65
CUST12187524,CUST51794708,1,6410,0.3,1923
CUST12187524,CUST88188600,1,2350,0.3,705
CUST12268249,CUST38922213,1,3354,0.3,1006.2
CUST12268249,CUST77188529,1,2116,0.3,634.8
CUST12282122,CUST54606598,1,1100,0.6,660
CUST12322211,CUST12910352,1,5911,0.3,1773.3
CUST12322211,CUST62704830,1,7522,0.3,2256.6
CUST12327927,CUST96855426,1,16670,0.3,5001
CUST12417535,CUST90346975,1,1037.5,0.3,311.25
CUST12456988,CUST89137381,1,14,0.3,4.2
CUST12533027,CUST29725513,1,2262,0.6,1357.2
CUST12570898,CUST73707963,1,100,0.6,60
CUST12604513,CUST11240383,1,228,0.3,68.4
CUST12611396,CUST18586344,1,1191,0.3,357.3
CUST12611396,EXTERNAL578769,1,626.5,0.3,187.95
CUST12611396,EXTERNAL646318,1,1387,0.3,416.1
CUST12671609,EXTERNAL188537,1,1523,0.6,913.8
CUST12671609,EXTERNAL209286,1,1208,0.6,724.8
CUST12852950,CUST10543571,1,6623.5,0.3,1987.05
CUST12852950,CUST35475939,1,2266,0.3,679.8
CUST12852950,CUST56565044,1,225,0.3,67.5
CUST12852950,CUST79801194,1,3758,0.3,1127.4
CUST12859577,CUST78445149,1,80,0.3,24
CUST12906724,CUST54781493,1,7342.5,0.3,2202.75
CUST12906724,CUST71686100,1,4108,0.3,1232.4
CUST12906724,CUST98837518,1,1670,0.3,501
CUST12906724,EXTERNAL809161,1,4389.5,0.3,1316.85
CUST12934864,EXTERNAL659042,1,121.5,0.3,36.45
CUST12971569,CUST38922213,1,706,0.3,211.8
CUST12991849,CUST81232964,1,4216,0.6,2529.6
CUST12992046,CUST32365345,1,34233,0.6,20539.8
CUST13022889,CUST98262263,1,18348,0.3,5504.4
CUST13115910,CUST48804147,1,650,0.3,195
CUST13195314,EXTERNAL666210,1,3750.5,0.3,1125.15
CUST13215464,CUST68616911,1,566,0.6,339.6
CUST13215464,CUST89938830,1,490,0.6,294
CUST13264698,CUST77650473,1,85.5,0.6,51.3
CUST13316799,CUST28913564,1,454,0.3,136.2
CUST13316799,CUST52186949,1,91.5,0.3,27.45
CUST13316799,CUST67882150,1,2721,0.3,816.3
CUST13316799,CUST70977942,1,3245,1,3245
CUST13316799,CUST77188529,1,2134,0.3,640.2
CUST13316799,CUST90758098,1,62,0.3,18.6
CUST13316799,EXTERNAL462083,1,3118,0.3,935.4
CUST13316799,EXTERNAL515953,1,176.5,0.3,52.95
CUST13316799,EXTERNAL566696,1,2823,0.3,846.9
CUST13316799,EXTERNAL985690,1,3234,0.3,970.2
CUST13356092,CUST13944316,1,106,0.6,63.6
CUST13391086,CUST31203996,1,50,0.3,15
CUST13457559,CUST79801194,1,210,0.3,63
CUST13488256,CUST33130087,1,264,0.6,158.4
CUST13535882,CUST54606598,1,2648,0.6,1588.8
CUST13567965,CUST37694200,1,640,0.3,192
CUST13567965,CUST47110564,1,1616.5,0.3,484.95
CUST13567965,EXTERNAL366135,1,2912,0.3,873.6
CUST13567965,EXTERNAL443914,1,134,0.3,40.2
CUST13567965,EXTERNAL564573,1,70,0.3,21
CUST13577647,EXTERNAL733654,1,2120,0.3,636
CUST13586709,EXTERNAL366135,1,115,0.3,34.5
CUST13608629,CUST85893508,1,105,0.3,31.5
CUST13638671,EXTERNAL800073,1,99,0.3,29.7
CUST13667019,CUST55867986,1,11443,0.3,3432.9
CUST13667019,CUST59417911,1,13959.5,0.3,4187.85
CUST13667019,EXTERNAL585397,1,29896,0.3,8968.8
CUST13667019,EXTERNAL907939,1,8539,0.3,2561.7
CUST13690232,CUST60056259,1,60,0.6,36
CUST13690232,EXTERNAL135838,1,59,0.6,35.4
CUST13690232,EXTERNAL928516,1,70,0.6,42
CUST13776027,EXTERNAL656875,1,470,0.3,141
CUST13811407,CUST45577461,1,335,0.3,100.5
CUST13850153,EXTERNAL364167,1,3455.5,0.6,2073.3
CUST13927477,EXTERNAL515619,1,372,0.3,111.6
CUST13959709,CUST44777016,1,2014,0.3,604.2
CUST13991566,CUST32008442,1,150,0.3,45
CUST13991566,EXTERNAL886768,1,2450,0.3,735
CUST14147571,CUST53103922,1,1798,0.3,539.4
CUST14162280,CUST97617768,1,59,0.3,17.7
CUST14205127,CUST76493457,1,920,0.3,276
CUST14205842,CUST14421422,1,992,0.3,297.6
CUST14206864,CUST33130087,1,265,0.6,159
CUST14216108,CUST75162978,1,500.5,0.3,150.15
CUST14267164,CUST50237501,1,1735.5,0.3,520.65
CUST14275108,CUST25697455,1,148,0.6,88.8
CUST14383562,CUST51555596,1,143,0.3,42.9
CUST14402173,CUST38098328,1,1145,0.6,687
CUST14410112,EXTERNAL279728,1,7626.5,0.6,4575.9
CUST14421422,CUST15396725,1,14118,0.3,4235.4
CUST14421422,CUST23591126,1,2017,0.3,605.1
CUST14421422,CUST30749905,1,189,0.3,56.7
CUST14421422,EXTERNAL172653,1,1210,0.3,363
CUST14438674,CUST37497310,1,955.5,0.6,573.3
CUST14449781,CUST69446469,1,2738.5,0.6,1643.1
CUST14449781,EXTERNAL347619,1,19400,0.6,11640
CUST14449781,EXTERNAL473457,1,23449,0.6,14069.4
CUST14449781,EXTERNAL682343,1,336,0.6,201.6
CUST14462599,CUST99775407,1,364,0.3,109.2
CUST14482109,CUST26958534,1,33,0.3,9.9
CUST14520049,CUST51794708,1,236,0.3,70.8
CUST14536496,CUST86368599,1,90,0.6,54
CUST14581886,EXTERNAL303366,1,148,0.3,44.4
CUST14595014,CUST82211624,1,3737,0.3,1121.1
CUST14696376,CUST53103922,1,2370.5,0.3,711.15
CUST14803339,CUST90585792,1,1305,0.3,391.5
CUST14940080,CUST37040055,1,11470,0.6,6882
CUST14940080,CUST59662662,1,15690,0.6,9414
CUST14940080,CUST84549710,1,10858,0.6,6514.8
CUST14940080,CUST88642961,1,3990,0.6,2394
CUST14940080,EXTERNAL790105,1,2477.5,0.6,1486.5
CUST14943558,CUST39791936,1,806,0.6,483.6
CUST14948244,CUST31290969,1,395,0.3,118.5
CUST14970272,CUST87779877,1,342,0.3,102.6
CUST14997751,CUST18385502,1,1101,0.3,330.3
CUST15018304,EXTERNAL806954,1,95,0.3,28.5
CUST15104934,CUST89733037,1,136,0.3,40.8
CUST15182071,CUST13316799,1,1854,0.3,556.2
CUST15182071,CUST42999591,1,691,0.3,207.3
CUST15182071,CUST44777016,1,2421.5,0.3,726.45
CUST15182071,CUST51555596,1,116,0.3,34.8
CUST15182071,CUST59652158,1,1493,0.3,447.9
CUST15182071,CUST77920458,1,1610,0.3,483
CUST15182071,CUST97617768,1,36.5,0.3,10.95
CUST15182071,EXTERNAL182053,1,1469.5,0.3,440.85
CUST15182071,EXTERNAL666210,1,1952.5,0.3,585.75
CUST15182071,EXTERNAL780867,1,2620,0.3,786
CUST15222342,CUST35740537,1,1587,0.6,952.2
CUST15246994,CUST87635633,1,5,0.3,1.5
CUST15281904,CUST99561735,1,1978.5,0.3,593.55
CUST15281904,EXTERNAL347878,1,2414.5,0.3,724.35
CUST15281904,EXTERNAL955234,1,2958,0.3,887.4
CUST15451603,CUST18385502,1,989,0.3,296.7
CUST15451603,CUST42622757,1,4911,0.3,1473.3
CUST15451603,CUST54743885,1,4152,0.3,1245.6
CUST15460725,EXTERNAL264549,1,2956,0.3,886.8
CUST15460725,EXTERNAL347878,1,3685.5,0.3,1105.65
CUST15498127,CUST10692732,1,149.5,0.3,44.85
CUST15503361,CUST17997346,1,298,0.3,89.4
CUST15503361,CUST21142837,1,208.5,0.3,62.55
CUST15503361,CUST71109760,1,2006,0.3,601.8
CUST15503361,EXTERNAL265097,1,1489,0.3,446.7
CUST15503361,EXTERNAL439731,1,8593,0.3,2577.9
CUST15503361,EXTERNAL506938,1,152,0.3,45.6
CUST15535614,CUST28813703,1,2295,0.3,688.5
CUST15561192,CUST81139349,1,119,0.3,35.7
CUST15570401,CUST89582940,1,2900,0.6,1740
CUST15570401,EXTERNAL488204,1,3754,0.6,2252.4
CUST15570401,EXTERNAL716874,1,13657,0.6,8194.2
CUST15613784,CUST89137381,1,494.5,0.3,148.35
CUST15679976,CUST94687811,1,710.5,0.3,213.15
CUST15696237,CUST37497310,1,632,0.6,379.2
CUST15709618,CUST18080503,1,1380,0.6,828
CUST15791808,CUST57916611,1,1210.5,0.3,363.15
CUST15791808,CUST99775407,1,257,0.3,77.1
CUST15791808,CUST99927411,1,5797,0.3,1739.1
CUST15791808,EXTERNAL674183,1,33140,0.3,9942
CUST15871353,CUST53185470,1,277,0.3,83.1
CUST15877342,CUST29599066,1,1036.5,0.3,310.95
CUST15915789,CUST21714072,1,7885,0.3,2365.5
CUST15915789,CUST32542866,1,5660,0.3,1698
CUST15915789,CUST48471885,1,9988.5,0.3,2996.55
CUST15915789,EXTERNAL133789,1,8718.5,0.3,2615.55
CUST15915789,EXTERNAL183992,1,8813.5,0.3,2644.05
CUST15915789,EXTERNAL204074,1,10588,0.3,3176.4
CUST15915789,EXTERNAL688930,1,564,0.3,169.2
CUST15915789,EXTERNAL962974,1,8556,0.3,2566.8
CUST15971945,CUST61709557,1,778.5,0.3,233.55
CUST16005122,CUST34502455,1,400,0.3,120
CUST16020967,CUST93300931,1,410,0.6,246
CUST16073298,CUST15817882,1,1736,0.3,520.8
CUST16073298,CUST35850267,1,1004,0.3,301.2
CUST16073298,EXTERNAL785812,1,7861,0.3,2358.3
CUST16103932,CUST97452978,1,60,0.3,18
CUST16111743,EXTERNAL588896,1,670,0.6,402
CUST16121426,CUST14421422,1,18363,0.3,5508.9
CUST16186062,CUST79739701,1,252,0.3,75.6
CUST16186062,EXTERNAL303366,1,480.5,0.3,144.15
CUST16186062,EXTERNAL701189,1,32083.5,0.3,9625.05
CUST16265664,CUST34502455,1,2807,0.3,842.1
CUST16387074,CUST93823788,1,14983.5,0.3,4495.05
CUST16397492,CUST49698802,1,50,0.6,30
CUST16429548,CUST11025700,1,285,0.3,85.5
CUST16537939,EXTERNAL567830,1,193,0.6,115.8
CUST16571613,CUST28984415,1,142,0.3,42.6
CUST16666102,EXTERNAL462083,1,1171.5,0.3,351.45
CUST16672713,CUST12694182,1,10,0.6,6
CUST16696923,CUST28125890,1,216,0.3,64.8
CUST16767293,CUST62850658,1,990,0.3,297
CUST16767293,EXTERNAL860015,1,17036,0.3,5110.8
CUST16768969,EXTERNAL250753,1,75,0.3,22.5
CUST16812868,CUST78445149,1,65,0.3,19.5
CUST16834009,CUST82367455,1,165,0.3,49.5
CUST16985746,CUST94687811,1,24429.5,0.3,7328.85
CUST17026840,CUST90480699,1,1714.5,0.3,514.35
CUST17066334,CUST18010577,1,925,0.6,555
CUST17098365,CUST44348689,1,3717,0.3,1115.1
CUST17098365,CUST73457399,1,2163,0.3,648.9
CUST17098365,EXTERNAL818255,1,1798,0.3,539.4
CUST17108298,CUST84709973,1,1475,0.6,885
CUST17136831,CUST81265791,1,4004,0.3,1201.2
CUST17188994,CUST17492750,1,102,0.3,30.6
CUST17214382,EXTERNAL646318,1,745,0.3,223.5
CUST17219264,EXTERNAL846771,1,186,0.3,55.8
CUST17328964,CUST90921813,1,2498,0.3,749.4
CUST17390793,CUST32419908,1,30,0.6,18
CUST17399973,CUST24433165,1,262,0.6,157.2
CUST17415330,CUST24255560,1,2520.5,0.3,756.15
CUST17433731,CUST13288612,1,10,0.3,3
CUST17492410,CUST19764961,1,2381,0.3,714.3
CUST17496701,CUST89141759,1,3290,0.6,1974
CUST17513706,CUST75429953,1,460,0.3,138
CUST17513706,EXTERNAL363105,1,19400.5,0.3,5820.15
CUST17513706,EXTERNAL659042,1,6144,0.3,1843.2
CUST17515118,CUST79739701,1,31,0.3,9.3
CUST17601750,CUST12121537,1,930,0.3,279
CUST17604818,CUST92733696,1,954,0.6,572.4
CUST17626754,CUST80923417,1,1724,0.3,517.2
CUST17754730,CUST84709973,1,1710,0.6,1026
CUST17812994,CUST92872028,1,430,0.3,129
CUST17817159,CUST19791581,1,210,0.3,63
CUST17818185,EXTERNAL646579,1,533.5,0.3,160.05
CUST17865132,CUST13022889,1,18758,0.3,5627.4
CUST17915355,EXTERNAL124634,1,60,0.3,18
CUST18024249,EXTERNAL135838,1,30,0.6,18
CUST18026817,CUST83124299,1,157.5,0.3,47.25
CUST18033844,CUST81265791,1,94,0.3,28.2
CUST18073345,EXTERNAL323214,1,9738.5,0.3,2921.55
CUST18077471,CUST82211624,1,257,0.3,77.1
CUST18098294,CUST38131074,1,9,0.6,5.4
CUST18114619,EXTERNAL303366,1,374,0.3,112.2
CUST18152889,CUST39791936,1,475.5,0.6,285.3
CUST18221983,EXTERNAL239377,1,512,0.3,153.6
CUST18223545,CUST89137381,1,1306.5,0.3,391.95
CUST18223545,CUST89273283,1,1544,0.3,463.2
CUST18229044,CUST61725625,1,72,0.3,21.6
CUST18277944,CUST11563228,1,3340,0.6,2004
CUST18277944,CUST22296566,1,6,0.6,3.6
CUST18277944,CUST33183592,1,6263.5,0.6,3758.1
CUST18277944,CUST55838808,1,400,0.6,240
CUST18277944,CUST89124000,1,55,0.6,33
CUST18447977,CUST68105048,1,200,0.3,60
CUST18480796,CUST23501713,1,1518.5,0.3,455.55
CUST18480796,CUST47437733,1,968,0.3,290.4
CUST18480796,EXTERNAL897509,1,1468.5,0.3,440.55
CUST18493791,EXTERNAL250753,1,1415.5,0.3,424.65
CUST18510265,EXTERNAL277162,1,41,0.3,12.3
CUST18537768,CUST67094114,1,1250,0.3,375
CUST18605789,CUST31290969,1,2703,0.3,810.9
CUST18657988,CUST74327086,1,1929.5,0.3,578.85
CUST18743583,EXTERNAL874504,1,192,0.6,115.2
CUST18752246,EXTERNAL366135,1,16,0.3,4.8
CUST18796882,CUST41985264,1,273.5,0.3,82.05
CUST18854236,CUST11025700,1,540,0.3,162
CUST18858097,CUST31937466,1,20,0.3,6
CUST18868643,CUST85893508,1,139,0.3,41.7
CUST18945253,CUST17871991,1,2229.5,0.3,668.85
CUST18945253,CUST47110564,1,2886,0.3,865.8
CUST18945253,CUST92872028,1,629,0.3,188.7
CUST19045186,CUST17796980,1,528.5,0.3,158.55
CUST19045186,CUST21436537,1,905,0.3,271.5
CUST19045186,CUST23771869,1,700,0.3,210
CUST19045186,CUST32007618,1,940,0.3,282
CUST19045186,CUST92988912,1,562,0.3,168.6
CUST19045186,CUST95691914,1,80,0.3,24
CUST19045186,CUST97564796,1,5,0.3,1.5
CUST19045186,CUST98184225,1,838,0.3,251.4
CUST19045186,EXTERNAL147831,1,933,0.3,279.9
CUST19045186,EXTERNAL166567,1,86,0.3,25.8
CUST19045186,EXTERNAL806954,1,946,0.3,283.8
CUST19051665,CUST61709557,1,274,0.3,82.2
CUST19222074,CUST51794708,1,1270,0.3,381
CUST19222074,CUST97608242,1,2018,0.3,605.4
CUST19233927,CUST99281574,1,570,0.3,171
CUST19287255,CUST19764961,1,345.5,0.3,103.65
CUST19292234,CUST71686100,1,3953,0.3,1185.9
CUST19292234,CUST92645024,1,2221,0.3,666.3
CUST19292234,EXTERNAL323896,1,5260,0.3,1578
CUST19292234,EXTERNAL973429,1,2676,0.3,802.8
CUST19345268,CUST25216525,1,240,0.3,72
CUST19357994,EXTERNAL846771,1,473,0.3,141.9
CUST19394916,CUST87779877,1,415,0.3,124.5
CUST19424934,CUST94687811,1,674,0.3,202.2
CUST19459381,CUST60458062,1,370,0.6,222
CUST19459381,CUST67740477,1,2669.5,0.6,1601.7
CUST19459381,CUST75233380,1,3240,0.6,1944
CUST19459381,CUST93157710,1,828,0.6,496.8
CUST19459381,EXTERNAL225156,1,382,0.6,229.2
CUST19459381,EXTERNAL330610,1,107,0.6,64.2
CUST19459381,EXTERNAL491334,1,382,0.6,229.2
CUST19459381,EXTERNAL637432,1,19183.5,0.6,11510.1
CUST19459381,EXTERNAL934630,1,100,0.6,60
CUST19459381,EXTERNAL979884,1,320,0.6,192
CUST19460777,CUST85893508,1,0,0.3,0
CUST19480092,EXTERNAL646318,1,101,0.3,30.3
CUST19483992,CUST51470945,1,116,0.3,34.8
CUST19499005,EXTERNAL995241,1,314,0.3,94.2
CUST19504303,EXTERNAL225156,1,5,0.6,3
CUST19527530,CUST67775829,1,1948,0.3,584.4
CUST19527530,CUST99654164,1,1476,0.3,442.8
CUST19615991,CUST17492750,1,141,0.3,42.3
CUST19615991,CUST78803542,1,1284.5,0.3,385.35
CUST19615991,CUST79940613,1,1938,0.3,581.4
CUST19615991,EXTERNAL792871,1,5578,0.3,1673.4
CUST19619030,CUST15182071,1,293,0.3,87.9
CUST19632843,CUST11240383,1,257,0.3,77.1
CUST19644369,EXTERNAL469568,2,1968,0.3,590.4
CUST19667354,CUST31366173,1,448,0.6,268.8
CUST19674325,CUST40709755,1,97.5,0.3,29.25
CUST19678855,CUST36687448,1,1325,0.6,795
CUST19678855,CUST95472175,1,13155.5,0.6,7893.3
CUST19678855,EXTERNAL531933,1,4352,0.6,2611.2
CUST19678855,EXTERNAL914822,1,10500,0.6,6300
CUST19702299,CUST41961928,1,10000,0.3,3000
CUST19702299,CUST98920690,1,14420,0.3,4326
CUST19702299,EXTERNAL462083,1,4685,0.3,1405.5
CUST19702299,EXTERNAL873804,1,12435,0.3,3730.5
CUST19714705,EXTERNAL239377,1,245,0.3,73.5
CUST19775454,CUST19357994,1,556,0.3,166.8
CUST19789963,CUST26313751,1,4789.5,0.3,1436.85
CUST19789963,EXTERNAL160928,1,5558.5,0.3,1667.55
CUST19789963,EXTERNAL252393,1,6470,0.3,1941
CUST19789963,EXTERNAL907939,1,9060,0.3,2718
CUST19791581,CUST10692732,1,3246,0.3,973.8
CUST19791581,CUST16469620,1,60,0.3,18
CUST19791581,CUST17492750,1,167,0.3,50.1
CUST19791581,CUST28899102,1,815,0.3,244.5
CUST19791581,CUST54437938,1,646.5,0.3,193.95
CUST19791581,CUST76399763,1,473,0.3,141.9
CUST19791581,CUST89312065,1,1137.5,0.3,341.25
CUST19791581,EXTERNAL124634,1,78,0.3,23.4
CUST19791581,EXTERNAL500377,1,620.5,0.3,186.15
CUST19791581,EXTERNAL701668,1,30,0.3,9
CUST19791581,EXTERNAL710460,1,2225,0.3,667.5
CUST19791581,EXTERNAL904935,1,8,0.3,2.4
CUST19794998,CUST82059495,1,270,0.3,81
CUST19888259,CUST38566003,1,194.5,0.3,58.35
CUST19911089,CUST48233698,1,151,0.3,45.3
CUST19911089,CUST79870489,1,4611,0.3,1383.3
CUST19911089,EXTERNAL235063,1,2640,0.3,792
CUST19933655,CUST89312065,1,1095,0.3,328.5
CUST20047667,CUST54353517,1,527.5,0.6,316.5
CUST20047767,CUST55464304,1,26,0.6,15.6
CUST20096005,CUST90921813,1,638,0.3,191.4
CUST20147994,CUST24889770,1,662,0.3,198.6
CUST20320434,CUST23171841,1,2729,0.6,1637.4
CUST20320434,EXTERNAL946189,1,7020,0.6,4212
CUST20368311,EXTERNAL359693,1,645,0.3,193.5
CUST20368311,EXTERNAL663837,1,1315,0.3,394.5
CUST20381723,CUST88436666,1,20.5,0.3,6.15
CUST20394517,CUST90921813,1,96,0.3,28.8
CUST20400124,CUST62969185,1,7523,0.3,2256.9
CUST20442883,CUST12910352,1,1559.5,0.3,467.85
CUST20442883,CUST28411970,1,904,0.3,271.2
CUST20442883,CUST33183232,1,929,0.3,278.7
CUST20442883,CUST77650473,4,31140,0.6,18684
CUST20442883,EXTERNAL967077,1,1609.5,0.3,482.85
CUST20453272,CUST38922213,1,2619,0.3,785.7
CUST20560150,CUST60056259,1,3316,0.6,1989.6
CUST20560150,EXTERNAL775516,1,3911.5,0.6,2346.9
CUST20688050,CUST56743935,1,4483,0.3,1344.9
CUST20714259,CUST40703038,1,3480,0.6,2088
CUST20714259,CUST57853649,1,2805,0.3,841.5
CUST20714259,CUST75259334,1,1520,0.6,912
CUST20714259,EXTERNAL570073,1,3219.5,0.6,1931.7
CUST20726222,CUST64950398,1,1101,0.6,660.6
CUST20726222,CUST92537028,1,1286,0.6,771.6
CUST20726222,EXTERNAL850852,1,1116.5,0.6,669.9
CUST20756023,CUST19913725,1,488.5,0.3,146.55
CUST20756023,EXTERNAL174583,1,1352,0.3,405.6
CUST20778425,CUST53103922,1,1271,0.3,381.3
CUST20906657,EXTERNAL282363,1,614.5,0.6,368.7
CUST20923126,CUST32007618,1,48,0.3,14.4
CUST21005388,CUST54570501,1,120,0.3,36
CUST21018297,EXTERNAL637523,1,188.5,0.3,56.55
CUST21108501,CUST56743898,1,128,0.3,38.4
CUST21204003,CUST59652158,1,790,0.3,237
CUST21204003,EXTERNAL230491,1,1289,0.3,386.7
CUST21229870,CUST87731042,1,130,0.3,39
CUST21277628,CUST73199995,1,23141,0.6,13884.6
CUST21338264,EXTERNAL666210,1,459,0.3,137.7
CUST21436537,CUST48808682,1,45,0.3,13.5
CUST21436537,CUST84065578,1,15980,0.3,4794
CUST21436537,EXTERNAL510234,1,17264,0.3,5179.2
CUST21450478,CUST13836944,1,4264.5,0.3,1279.35
CUST21450478,CUST26484854,1,4756.5,0.3,1426.95
CUST21450478,CUST97452978,1,454.5,0.3,136.35
CUST21450478,CUST99775407,1,335,0.3,100.5
CUST21450478,EXTERNAL952290,1,5374.5,0.3,1612.35
CUST21525518,CUST39813987,1,2456.5,0.3,736.95
CUST21584174,CUST48227096,1,150,0.3,45
CUST21603005,CUST81232964,1,68,0.6,40.8
CUST21608078,CUST93300931,1,90.5,0.6,54.3
CUST21628170,CUST45674350,1,3770,1,3770
CUST21634154,CUST98262263,1,328,0.3,98.4
CUST21722020,CUST94687811,1,488,0.3,146.4
CUST21930288,CUST90480699,1,1610,0.3,483
CUST22075566,CUST25548428,1,308,0.6,184.8
CUST22130077,EXTERNAL682343,1,371.5,0.6,222.9
CUST22189706,CUST20406227,1,286,0.6,171.6
CUST22205859,CUST24539383,1,231,0.3,69.3
CUST22242525,EXTERNAL487415,1,362.5,0.3,108.75
CUST22362223,CUST21045356,1,2552,0.6,1531.2
CUST22362223,CUST24433165,1,3345,0.6,2007
CUST22362223,CUST24860259,1,4230,0.6,2538
CUST22362223,EXTERNAL106041,1,37840,0.6,22704
CUST22362223,EXTERNAL893445,1,2521,0.6,1512.6
CUST22368328,CUST10692732,1,4,0.3,1.2
CUST22385004,CUST41966919,1,699,0.3,209.7
CUST22385151,CUST72193210,1,1176,0.3,352.8
CUST22385151,CUST92232880,1,1722,0.6,1033.2
CUST22386319,EXTERNAL462083,1,1078,0.3,323.4
CUST22400846,CUST23501713,1,820,0.3,246
CUST22400846,CUST58130513,1,568,0.3,170.4
CUST22403161,CUST27634902,1,0,0.3,0
CUST22409295,EXTERNAL277162,1,34,0.3,10.2
CUST22409295,EXTERNAL380836,1,1015.5,0.3,304.65
CUST22462561,CUST49112623,1,2986,0.3,895.8
CUST22498420,CUST37684134,1,16,0.3,4.8
CUST22498420,CUST60256318,1,25.5,0.3,7.65
CUST22498420,CUST61821443,1,784,0.3,235.2
CUST22498420,CUST62850658,1,2569,0.3,770.7
CUST22498420,CUST78445149,1,84.5,0.3,25.35
CUST22498420,CUST99486954,1,34,0.3,10.2
CUST22498420,EXTERNAL263738,1,1488,0.3,446.4
CUST22498420,EXTERNAL337401,1,370,0.3,111
CUST22498420,EXTERNAL688930,1,814,0.3,244.2
CUST22498420,EXTERNAL807205,1,2832,0.3,849.6
CUST22508613,EXTERNAL907939,1,24,0.3,7.2
CUST22562029,CUST28453984,1,5644,0.3,1693.2
CUST22710475,EXTERNAL656875,1,170,0.3,51
CUST22755061,CUST67094114,1,1407,0.3,422.1
CUST22806740,CUST33059790,1,25,1,25
CUST22814971,CUST92872028,1,655,0.3,196.5
CUST22844710,CUST99559288,1,159,0.3,47.7
CUST22902413,EXTERNAL506938,1,126,0.3,37.8
CUST22902413,EXTERNAL675178,1,49610,0.3,14883
CUST22902413,EXTERNAL877130,1,8470,0.3,2541
CUST22927014,EXTERNAL931050,1,38.5,0.3,11.55
CUST22961672,CUST68616911,1,57.5,0.6,34.5
CUST23025688,CUST67094114,1,732,0.3,219.6
CUST23052185,CUST41274277,1,228.5,0.3,68.55
CUST23142428,CUST98184225,1,440,0.3,132
CUST23211367,EXTERNAL660609,1,922,0.3,276.6
CUST23229463,CUST86587232,1,136,0.3,40.8
CUST23255062,EXTERNAL251130,1,9150,0.3,2745
