Source,Target,counts,Amount,Risk Index,Weight
EXTERNAL739373,CUST98262263,1,33556,0.3,10066.8
CUST95587160,EXTERNAL964124,1,33443.5,0.3,10033.05
CUST15791808,EXTERNAL674183,1,33140,0.3,9942
EXTERNAL531873,CUST98262263,1,33009.5,0.3,9902.85
EXTERNAL411376,CUST50119698,1,32770,0.3,9831
CUST23466844,CUST48804147,1,32686,0.3,9805.8
CUST40711059,EXTERNAL903292,1,32581.5,0.3,9774.45
EXTERNAL970572,CUST72605616,1,32390.5,0.3,9717.15
CUST30611929,EXTERNAL491750,1,32170,0.3,9651
CUST16186062,EXTERNAL701189,1,32083.5,0.3,9625.05
CUST46034487,EXTERNAL517013,1,31945,0.3,9583.5
CUST97030765,CUST45715683,1,31584,0.3,9475.2
CUST20442883,CUST77650473,4,31140,0.6,18684
CUST23671542,EXTERNAL578013,1,31140,0.3,9342
EXTERNAL279185,CUST68908113,1,30954,0.3,9286.2
CUST28198614,EXTERNAL994643,1,30225,0.3,9067.5
CUST89955549,EXTERNAL163682,1,30101,0.3,9030.3
CUST13667019,EXTERNAL585397,1,29896,0.3,8968.8
CUST72020700,EXTERNAL919316,1,29470,0.3,8841
EXTERNAL206136,CUST53185470,1,28879,0.3,8663.7
CUST32717756,EXTERNAL373224,1,28780,0.3,8634
EXTERNAL940827,CUST93669479,1,28711.5,0.3,8613.45
EXTERNAL147495,CUST46447625,1,28500,0.3,8550
EXTERNAL411376,CUST47761322,1,27998,0.3,8399.4
CUST31413445,CUST99654164,1,27515,0.3,8254.5
EXTERNAL806783,CUST42143950,1,27460,0.3,8238
CUST89020741,EXTERNAL468547,1,26844,0.3,8053.2
CUST63683643,CUST97974328,1,26264,0.3,7879.2
CUST72247395,EXTERNAL234564,1,26052,0.3,7815.6
EXTERNAL411543,CUST92872028,1,25195,0.3,7558.5
EXTERNAL527948,CUST38998449,1,25112,0.3,7533.6
CUST76082816,EXTERNAL555295,1,24805,0.3,7441.5
CUST89838718,CUST15503361,2,24475.5,0.3,7342.65
CUST16985746,CUST94687811,1,24429.5,0.3,7328.85
EXTERNAL514895,CUST72273959,1,24412,0.3,7323.6
EXTERNAL531873,CUST39070172,1,24383.5,0.3,7315.05
CUST76412263,EXTERNAL117176,1,24100,0.3,7230
EXTERNAL220643,CUST81265791,1,24008,0.3,7202.4
EXTERNAL514895,CUST34692597,1,23700,0.3,7110
CUST96968719,EXTERNAL363105,1,23545,0.3,7063.5
EXTERNAL322457,CUST40709755,1,23479,0.3,7043.7
EXTERNAL671505,CUST19764961,1,22701.5,0.3,6810.45
EXTERNAL894495,CUST39070172,1,22697,0.3,6809.1
CUST60849909,EXTERNAL714073,1,22494,0.3,6748.2
EXTERNAL206136,CUST87731042,1,22486,0.3,6745.8
CUST54164127,EXTERNAL750242,1,22235,0.3,6670.5
CUST58398920,EXTERNAL396594,1,22116.5,0.3,6634.95
CUST62981181,CUST48804147,1,22020,0.3,6606
CUST68908113,CUST21370266,1,21969.5,0.3,6590.85
CUST37729812,EXTERNAL131745,1,21870,0.3,6561
EXTERNAL559736,CUST19764961,1,21298,0.3,6389.4
CUST31369552,EXTERNAL707528,1,21136,0.3,6340.8
EXTERNAL171576,CUST11025700,1,20994,0.3,6298.2
CUST54164127,EXTERNAL687565,1,20907,0.3,6272.1
CUST74687432,EXTERNAL879542,1,20763,0.3,6228.9
CUST90497271,EXTERNAL636571,1,20705.5,0.3,6211.65
EXTERNAL750544,CUST97452978,1,20296,0.3,6088.8
CUST76737479,CUST75452963,1,20130,0.3,6039
CUST68908113,CUST67391185,1,20074,0.3,6022.2
CUST82945876,EXTERNAL351917,1,19951,0.3,5985.3
EXTERNAL790916,CUST79801194,1,19842,0.3,5952.6
EXTERNAL129581,CUST71870482,1,19815,0.3,5944.5
CUST89955549,EXTERNAL277763,1,19748.5,0.3,5924.55
EXTERNAL527902,CUST58976513,1,19420,0.3,5826
CUST17513706,EXTERNAL363105,1,19400.5,0.3,5820.15
EXTERNAL279185,CUST52229750,1,18795,0.3,5638.5
CUST17865132,CUST13022889,1,18758,0.3,5627.4
CUST80835515,EXTERNAL894495,1,18364,0.3,5509.2
CUST16121426,CUST14421422,1,18363,0.3,5508.9
CUST13022889,CUST98262263,1,18348,0.3,5504.4
EXTERNAL495851,CUST96672931,1,18240,0.3,5472
EXTERNAL463866,CUST85769551,1,17996,0.6,10797.6
CUST94546696,EXTERNAL591559,1,17950.5,0.3,5385.15
EXTERNAL251411,CUST60309652,1,17660,0.3,5298
CUST93823788,CUST17551896,1,17647.5,0.3,5294.25
EXTERNAL766358,CUST13022889,1,17554,0.3,5266.2
CUST21436537,EXTERNAL510234,1,17264,0.3,5179.2
CUST94850463,EXTERNAL762418,1,17200,0.3,5160
CUST38456159,CUST70684760,1,17076,0.3,5122.8
EXTERNAL579023,CUST56743935,1,17070,0.3,5121
CUST24300462,EXTERNAL121934,1,17054,0.3,5116.2
CUST16767293,EXTERNAL860015,1,17036,0.3,5110.8
CUST51140769,EXTERNAL790916,1,16864,0.3,5059.2
EXTERNAL593261,CUST93823788,1,16821,0.3,5046.3
CUST73102767,EXTERNAL366927,1,16807,0.3,5042.1
EXTERNAL894495,CUST82985124,1,16767.5,0.3,5030.25
CUST12327927,CUST96855426,1,16670,0.3,5001
CUST23255062,EXTERNAL278563,1,16496,0.3,4948.8
EXTERNAL206136,CUST70977942,2,16426,1,16426
CUST58869098,EXTERNAL210297,1,16345,0.3,4903.5
EXTERNAL601277,CUST25216525,1,15988,0.3,4796.4
CUST21436537,CUST84065578,1,15980,0.3,4794
EXTERNAL505492,CUST12344389,1,15943,0.3,4782.9
CUST26216871,EXTERNAL795706,1,15545,0.3,4663.5
CUST73217707,EXTERNAL157116,1,15535,0.3,4660.5
CUST97030765,CUST94057295,1,15491,0.3,4647.3
CUST60645472,EXTERNAL202279,1,15014,0.3,4504.2
CUST16387074,CUST93823788,1,14983.5,0.3,4495.05
EXTERNAL202227,CUST79801194,1,14884.5,0.3,4465.35
CUST54180173,CUST84769011,1,14774,0.3,4432.2
CUST19702299,CUST98920690,1,14420,0.3,4326
EXTERNAL577314,CUST38966266,1,14375,0.3,4312.5
EXTERNAL754866,CUST67882150,1,14280,0.3,4284
CUST73102767,CUST67882150,1,14130,0.3,4239
CUST14421422,CUST15396725,1,14118,0.3,4235.4
CUST59249881,EXTERNAL546302,1,14066.5,0.3,4219.95
CUST13667019,CUST59417911,1,13959.5,0.3,4187.85
CUST39470934,CUST90994814,1,13717,0.3,4115.1
CUST30100945,EXTERNAL240563,1,13670,0.3,4101
EXTERNAL267421,CUST61709557,1,13642,0.3,4092.6
CUST44814315,CUST94850463,1,13633,0.3,4089.9
CUST73457399,CUST24623825,3,13589,0.3,4076.7
CUST11892041,EXTERNAL718485,1,13517,0.3,4055.1
EXTERNAL640862,CUST35589230,1,13510,0.3,4053
CUST70152499,CUST34297984,1,13427.5,0.3,4028.25
EXTERNAL339803,CUST29156003,2,13399,0.3,4019.7
EXTERNAL780296,CUST99281574,1,13370,0.3,4011
CUST44814315,CUST10846049,1,13238,0.3,3971.4
CUST58869098,EXTERNAL892143,1,13208.5,0.3,3962.55
CUST69626061,EXTERNAL847757,1,13063,0.3,3918.9
CUST33059790,CUST99163899,1,12981.5,1,12981.5
CUST59293109,CUST59662662,1,12885,0.3,3865.5
EXTERNAL549137,CUST88436666,1,12860,0.3,3858
EXTERNAL253910,CUST79138251,1,12743.5,0.3,3823.05
EXTERNAL106374,CUST67882150,1,12734,0.3,3820.2
CUST62231628,EXTERNAL963477,1,12670.5,0.3,3801.15
CUST38558862,CUST12928880,1,12662,0.3,3798.6
CUST76082816,CUST14587276,1,12630,0.3,3789
CUST85769551,CUST33059790,4,12526,1,12526
CUST19702299,EXTERNAL873804,1,12435,0.3,3730.5
CUST91714759,EXTERNAL274046,1,12306.5,0.3,3691.95
CUST37622979,CUST43925592,1,12304,0.3,3691.2
CUST53638983,CUST96855426,1,12188.5,0.3,3656.55
CUST28125890,CUST84769011,1,12122.5,0.3,3636.75
CUST43122813,EXTERNAL547920,1,12006.5,0.3,3601.95
CUST31652369,CUST82921884,1,11979.5,0.3,3593.85
EXTERNAL443861,CUST28564744,1,11881,0.3,3564.3
EXTERNAL360418,CUST49184208,1,11822,0.3,3546.6
CUST76082816,EXTERNAL631948,1,11795,0.3,3538.5
EXTERNAL769251,CUST30904591,1,11795,0.3,3538.5
CUST27967009,EXTERNAL775264,1,11790,0.3,3537
EXTERNAL282305,CUST68105048,1,11675.5,0.3,3502.65
EXTERNAL970572,CUST54570501,1,11584,0.3,3475.2
CUST45674350,EXTERNAL609165,1,11537,1,11537
CUST13667019,CUST55867986,1,11443,0.3,3432.9
CUST45674350,EXTERNAL579387,1,11368,1,11368
EXTERNAL137311,CUST87731042,1,11258,0.3,3377.4
CUST33059790,CUST35475939,1,11200,1,11200
CUST84945112,EXTERNAL801218,1,11038.5,0.3,3311.55
CUST35495247,CUST36405209,1,11027,0.3,3308.1
CUST73214828,CUST38566003,1,11023,0.3,3306.9
CUST69102376,EXTERNAL821036,1,10810,0.3,3243
CUST33183592,CUST19988152,1,10676.5,0.3,3202.95
CUST82170120,CUST89733037,1,10598,0.3,3179.4
CUST15915789,EXTERNAL204074,1,10588,0.3,3176.4
EXTERNAL472634,CUST57873751,1,10417.5,0.3,3125.25
EXTERNAL495788,CUST87731042,1,10347.5,0.3,3104.25
CUST52088777,EXTERNAL113125,1,10331,0.3,3099.3
CUST34208206,EXTERNAL735155,1,10315,0.3,3094.5
CUST24300462,CUST26484854,1,10306,0.3,3091.8
EXTERNAL350569,CUST90049484,1,10220,0.3,3066
CUST32717756,CUST25216525,1,10163,0.3,3048.9
EXTERNAL543080,CUST12121537,1,10140,0.3,3042
CUST87145435,EXTERNAL556199,1,10116,0.3,3034.8
EXTERNAL505492,CUST21419454,1,10114,0.3,3034.2
CUST89955549,CUST82921884,1,10024.5,0.3,3007.35
CUST19702299,CUST41961928,1,10000,0.3,3000
CUST15915789,CUST48471885,1,9988.5,0.3,2996.55
EXTERNAL871723,CUST11240383,1,9980,0.3,2994
CUST29156003,CUST12586309,2,9977,0.3,2993.1
CUST59287161,EXTERNAL332287,1,9969,0.3,2990.7
CUST39803091,CUST36202790,1,9937,0.3,2981.1
CUST25216525,CUST80250243,1,9922,0.3,2976.6
CUST39529653,CUST67391185,1,9922,0.3,2976.6
CUST54743885,CUST89137381,1,9838.5,0.3,2951.55
EXTERNAL287256,CUST57853649,1,9766.5,0.3,2929.95
CUST70977942,CUST89137381,1,9740,1,9740
CUST18073345,EXTERNAL323214,1,9738.5,0.3,2921.55
CUST54570501,CUST90195396,1,9730,0.3,2919
EXTERNAL282310,CUST56773716,1,9722.5,0.3,2916.75
CUST97030765,CUST20015461,1,9685,0.3,2905.5
CUST70062404,CUST67882150,1,9582,0.3,2874.6
CUST24310681,CUST23287205,1,9520,0.3,2856
EXTERNAL836890,CUST96702713,1,9498.5,0.3,2849.55
CUST28097648,CUST96702713,1,9498,0.3,2849.4
EXTERNAL513953,CUST20442883,1,9474,0.3,2842.2
CUST28944542,CUST13022889,1,9419.5,0.3,2825.85
EXTERNAL350569,CUST54896335,1,9390,0.3,2817
EXTERNAL152078,CUST93823788,1,9349.5,0.3,2804.85
CUST37650141,CUST26950259,1,9328.5,0.3,2798.55
CUST23255062,EXTERNAL251130,1,9150,0.3,2745
CUST19789963,EXTERNAL907939,1,9060,0.3,2718
EXTERNAL240786,CUST68297791,1,9048.5,0.3,2714.55
CUST85183142,EXTERNAL203764,1,9040,0.3,2712
EXTERNAL232836,CUST36161211,1,9036,0.3,2710.8
CUST43609665,EXTERNAL958110,1,8977,0.3,2693.1
CUST60843765,CUST38742117,1,8832,0.3,2649.6
CUST15915789,EXTERNAL183992,1,8813.5,0.3,2644.05
CUST24310681,EXTERNAL269204,1,8788.5,0.3,2636.55
EXTERNAL476337,CUST54570501,1,8756,0.3,2626.8
EXTERNAL534203,CUST72193210,1,8750,0.3,2625
CUST38131074,EXTERNAL874504,1,8741.5,0.3,2622.45
CUST15915789,EXTERNAL133789,1,8718.5,0.3,2615.55
EXTERNAL454168,CUST96855426,1,8671,0.3,2601.3
CUST58398920,CUST59735474,1,8649,0.3,2594.7
CUST72233104,EXTERNAL455676,1,8630,0.3,2589
EXTERNAL640862,CUST18385502,1,8620.5,0.3,2586.15
EXTERNAL469611,CUST69312727,1,8616,0.3,2584.8
CUST15503361,EXTERNAL439731,1,8593,0.3,2577.9
CUST10482801,CUST99163899,1,8588,0.3,2576.4
EXTERNAL631863,CUST94619613,1,8585,0.3,2575.5
CUST15915789,EXTERNAL962974,1,8556,0.3,2566.8
CUST39529653,CUST71829503,1,8550,0.3,2565
CUST13667019,EXTERNAL907939,1,8539,0.3,2561.7
CUST80835515,CUST50338284,1,8513.5,0.3,2554.05
EXTERNAL631863,CUST12910352,1,8505,0.3,2551.5
EXTERNAL619891,CUST69400064,1,8475,0.3,2542.5
CUST22902413,EXTERNAL877130,1,8470,0.3,2541
EXTERNAL304204,CUST88972665,1,8440.5,0.3,2532.15
CUST27758588,EXTERNAL971883,1,8422.5,0.3,2526.75
CUST64111087,CUST54570501,1,8330,0.3,2499
CUST53837804,CUST96702713,1,8322,0.3,2496.6
EXTERNAL155867,CUST29837239,1,8302,0.3,2490.6
EXTERNAL173264,CUST43659183,1,8300,0.3,2490
EXTERNAL872871,CUST48804147,1,8280,0.3,2484
EXTERNAL676549,CUST90195396,1,8160,0.3,2448
EXTERNAL871723,CUST19045186,1,8141.5,0.3,2442.45
CUST77650473,EXTERNAL907939,2,8141,0.6,4884.6
CUST76082816,CUST73333517,1,8070,0.3,2421
EXTERNAL676549,CUST60583010,1,8050,0.3,2415
EXTERNAL527948,CUST85769551,1,8042,0.6,4825.2
CUST60108968,EXTERNAL309492,1,8039.5,0.3,2411.85
EXTERNAL638645,CUST99775407,1,8014,0.3,2404.2
EXTERNAL703427,CUST54938421,1,8013,0.3,2403.9
EXTERNAL202284,CUST60953588,1,7970,0.3,2391
EXTERNAL681605,CUST29837239,1,7962,0.3,2388.6
EXTERNAL360418,CUST37510666,1,7950,0.3,2385
EXTERNAL376290,CUST93823788,1,7946,0.3,2383.8
EXTERNAL152078,CUST33059790,1,7893,1,7893
CUST15915789,CUST21714072,1,7885,0.3,2365.5
CUST41632480,CUST12344389,1,7876,0.3,2362.8
CUST16073298,EXTERNAL785812,1,7861,0.3,2358.3
CUST58869098,EXTERNAL479407,1,7850,0.3,2355
EXTERNAL282310,CUST39216311,1,7847,0.3,2354.1
EXTERNAL907939,CUST41632480,1,7841,0.3,2352.3
CUST32717756,CUST72193210,1,7785,0.3,2335.5
EXTERNAL465987,CUST61292060,1,7782,0.3,2334.6
EXTERNAL895869,CUST19764961,1,7770,0.3,2331
CUST61318963,EXTERNAL138921,1,7743,0.3,2322.9
EXTERNAL931139,CUST29609979,2,7702,0.3,2310.6
CUST32717756,EXTERNAL549644,1,7640,0.3,2292
EXTERNAL352953,CUST20442883,1,7631,0.3,2289.3
CUST56131631,CUST24539383,1,7628.5,0.3,2288.55
CUST58398920,EXTERNAL994547,1,7618,0.3,2285.4
CUST58869098,CUST83369288,1,7585.5,0.3,2275.65
CUST20400124,CUST62969185,1,7523,0.3,2256.9
CUST12322211,CUST62704830,1,7522,0.3,2256.6
CUST81897467,EXTERNAL249463,1,7520,0.3,2256
EXTERNAL533300,CUST13022889,1,7460,0.3,2238
CUST39529653,CUST43790050,1,7442,0.3,2232.6
EXTERNAL126882,CUST89255843,1,7440,0.3,2232
EXTERNAL304204,CUST99693105,1,7440,0.3,2232
CUST44605894,CUST49547303,1,7426,0.3,2227.8
CUST60108968,EXTERNAL855355,1,7423.5,0.3,2227.05
EXTERNAL734218,CUST70977942,1,7410,1,7410
CUST33097384,EXTERNAL971883,1,7350,0.3,2205
EXTERNAL991384,CUST56743935,1,7345,0.3,2203.5
CUST12906724,CUST54781493,1,7342.5,0.3,2202.75
EXTERNAL821936,CUST37136321,1,7305,0.3,2191.5
EXTERNAL454168,CUST15503361,1,7290,0.3,2187
CUST54570501,EXTERNAL246667,1,7253.5,0.3,2176.05
EXTERNAL426148,CUST69081517,1,7245.5,0.3,2173.65
EXTERNAL282305,CUST17253514,1,7200,0.3,2160
CUST83144523,EXTERNAL103114,1,7154,0.3,2146.2
EXTERNAL394094,CUST17492750,1,7120,0.3,2136
CUST79294982,CUST67775829,1,7074,0.3,2122.2
EXTERNAL555055,CUST85302937,1,7064,0.3,2119.2
EXTERNAL722949,CUST83124299,1,7060,0.3,2118
CUST73457399,EXTERNAL211403,2,7000,0.3,2100
CUST45674350,EXTERNAL676409,1,6975,1,6975
CUST78616283,CUST70977942,2,6913,1,6913
CUST39529653,CUST99741628,1,6908,0.3,2072.4
CUST54164127,CUST39233758,1,6890,0.3,2067
CUST67593958,CUST38873935,1,6885,0.3,2065.5
CUST29156003,CUST68713233,1,6880,0.3,2064
EXTERNAL440334,CUST51555596,1,6859.5,0.3,2057.85
CUST99559288,CUST93823788,1,6843,0.3,2052.9
CUST25246738,EXTERNAL656875,1,6817,0.3,2045.1
CUST39803091,EXTERNAL738025,1,6803,0.3,2040.9
CUST61318963,CUST67882150,1,6770,0.3,2031
CUST32614423,EXTERNAL454168,1,6765,0.3,2029.5
CUST59293109,CUST30914972,1,6758,0.3,2027.4
CUST60945294,EXTERNAL854495,1,6755,0.3,2026.5
CUST66222351,CUST44029654,1,6715,0.3,2014.5
CUST11892041,CUST99163899,1,6710,0.3,2013
EXTERNAL935466,CUST91848246,1,6710,0.3,2013
CUST72247395,EXTERNAL566696,1,6692,0.3,2007.6
CUST47048868,CUST55005800,1,6690,0.3,2007
CUST28198614,CUST61629987,1,6684.5,0.3,2005.35
EXTERNAL624650,CUST33059790,1,6663,1,6663
EXTERNAL675782,CUST25216525,1,6659,0.3,1997.7
CUST45464365,CUST24255560,1,6647,0.3,1994.1
EXTERNAL531873,CUST45674350,3,6634,1,6634
EXTERNAL443861,CUST29156003,1,6628,0.3,1988.4
CUST12852950,CUST10543571,1,6623.5,0.3,1987.05
CUST24895349,CUST64222586,1,6600,0.3,1980
CUST54164127,EXTERNAL653823,1,6599.5,0.3,1979.85
CUST59187176,CUST35475939,1,6598,0.3,1979.4
CUST79764683,EXTERNAL229668,1,6582,0.3,1974.6
EXTERNAL594809,CUST43421234,1,6577,0.3,1973.1
EXTERNAL179942,CUST39216311,1,6552,0.3,1965.6
CUST84769011,EXTERNAL263681,1,6545,0.3,1963.5
CUST99163899,EXTERNAL184646,1,6544,0.3,1963.2
CUST36803709,CUST38619845,2,6527,0.3,1958.1
EXTERNAL666768,CUST89523953,1,6481,0.3,1944.3
CUST88726962,CUST19764961,1,6477.5,0.3,1943.25
CUST19789963,EXTERNAL252393,1,6470,0.3,1941
EXTERNAL894495,CUST59407582,1,6465,0.3,1939.5
CUST12187524,CUST51794708,1,6410,0.3,1923
CUST96639826,CUST87727321,1,6372,0.3,1911.6
EXTERNAL453310,CUST39070172,1,6356,0.3,1906.8
CUST24889770,EXTERNAL775264,1,6333,0.3,1899.9
CUST73670231,EXTERNAL868004,1,6314,0.3,1894.2
CUST58576855,EXTERNAL659042,1,6282,0.3,1884.6
EXTERNAL722729,CUST93370845,1,6270.5,0.3,1881.15
CUST83517140,EXTERNAL273902,1,6255.5,0.3,1876.65
EXTERNAL968972,CUST61151059,1,6246,0.3,1873.8
CUST99163899,CUST99559288,1,6225.5,0.3,1867.65
EXTERNAL759539,CUST31203996,1,6210,0.3,1863
EXTERNAL686580,CUST51779153,1,6205,0.3,1861.5
EXTERNAL935466,CUST73457399,1,6195,0.3,1858.5
CUST17513706,EXTERNAL659042,1,6144,0.3,1843.2
EXTERNAL758599,CUST94687811,1,6142,0.3,1842.6
CUST39976333,CUST28125890,1,6107,0.3,1832.1
CUST37622979,EXTERNAL453310,1,6102.5,0.3,1830.75
CUST73707963,CUST45674350,3,6089,1,6089
CUST98262263,EXTERNAL453310,1,6044.5,0.3,1813.35
CUST76943736,CUST55050625,1,6034,0.3,1810.2
EXTERNAL457412,CUST47110564,1,5980,0.3,1794
EXTERNAL302617,CUST57659848,1,5950,0.3,1785
CUST90977904,CUST64546436,1,5922,0.3,1776.6
CUST12322211,CUST12910352,1,5911,0.3,1773.3
CUST45851570,CUST81265791,1,5906,0.3,1771.8
EXTERNAL230662,CUST67692412,1,5890,0.3,1767
EXTERNAL505492,CUST19789963,1,5889,0.3,1766.7
EXTERNAL517940,CUST77856215,1,5884,0.3,1765.2
EXTERNAL540668,CUST80371371,1,5814.5,0.3,1744.35
CUST45674350,CUST98840303,1,5798.5,1,5798.5
CUST15791808,CUST99927411,1,5797,0.3,1739.1
CUST75406604,CUST87731042,1,5768,0.3,1730.4
EXTERNAL814109,CUST45577461,1,5744,0.3,1723.2
EXTERNAL633768,CUST30824888,1,5726,0.3,1717.8
EXTERNAL218407,CUST64222586,1,5671,0.3,1701.3
CUST15915789,CUST32542866,1,5660,0.3,1698
CUST22562029,CUST28453984,1,5644,0.3,1693.2
CUST11698052,CUST74327086,1,5616,0.3,1684.8
EXTERNAL140181,CUST85769551,1,5602.5,0.6,3361.5
CUST36778988,CUST24539383,1,5580,0.3,1674
CUST19615991,EXTERNAL792871,1,5578,0.3,1673.4
EXTERNAL818174,CUST40709755,1,5563.5,0.3,1669.05
EXTERNAL594010,CUST75161099,1,5562,0.3,1668.6
CUST19789963,EXTERNAL160928,1,5558.5,0.3,1667.55
CUST44605894,CUST51794708,1,5554,0.3,1666.2
EXTERNAL878020,CUST76981370,1,5544,0.3,1663.2
CUST43273953,CUST24255560,1,5542,0.3,1662.6
EXTERNAL266226,CUST66327417,1,5530,0.3,1659
EXTERNAL465987,CUST13022889,1,5530,0.3,1659
EXTERNAL304204,CUST18493791,1,5527.5,0.3,1658.25
CUST67593958,EXTERNAL683833,1,5436,0.3,1630.8
CUST89817186,EXTERNAL973148,1,5435,0.3,1630.5
EXTERNAL555055,CUST24255560,1,5422,0.3,1626.6
EXTERNAL465987,CUST98262263,1,5400,0.3,1620
EXTERNAL931139,CUST90195396,1,5400,0.3,1620
CUST66222351,EXTERNAL303366,1,5393.5,0.3,1618.05
CUST70058330,EXTERNAL659042,1,5377,0.3,1613.1
CUST21450478,EXTERNAL952290,1,5374.5,0.3,1612.35
EXTERNAL265823,CUST73457399,1,5373,0.3,1611.9
EXTERNAL578726,CUST79138251,1,5370,0.3,1611
EXTERNAL847072,CUST87731042,1,5365,0.3,1609.5
CUST42116496,CUST48804147,1,5359,0.3,1607.7
CUST58869098,CUST70005076,1,5355,0.3,1606.5
EXTERNAL650015,CUST85769551,1,5328,0.6,3196.8
CUST74250810,EXTERNAL462083,1,5320,0.3,1596
EXTERNAL322457,CUST99442802,1,5299,0.3,1589.7
EXTERNAL650015,CUST25100749,1,5288,0.3,1586.4
EXTERNAL286585,CUST13022889,1,5282.5,0.3,1584.75
EXTERNAL140181,CUST54631251,1,5280,0.3,1584
CUST44224798,CUST19520109,1,5264,0.3,1579.2
CUST19292234,EXTERNAL323896,1,5260,0.3,1578
EXTERNAL279185,CUST29510428,1,5258,0.3,1577.4
EXTERNAL152078,CUST71482189,1,5240,0.3,1572
CUST90497271,CUST19899906,1,5237.5,0.3,1571.25
CUST41486893,CUST32443552,1,5235,0.3,1570.5
CUST80924419,CUST64222586,1,5227,0.3,1568.1
EXTERNAL574193,CUST87731042,1,5214,0.3,1564.2
EXTERNAL621335,CUST87727321,1,5210,0.3,1563
CUST96661303,EXTERNAL995241,1,5194,0.3,1558.2
EXTERNAL651858,CUST82364791,1,5180,0.3,1554
CUST74479838,CUST93669479,1,5174.5,0.3,1552.35
CUST76082816,CUST67946529,1,5170,0.3,1551
CUST48654180,CUST33059790,1,5157,1,5157
CUST55126865,CUST99931838,1,5152,0.3,1545.6
EXTERNAL115428,CUST81265791,1,5150,0.3,1545
EXTERNAL985690,CUST10521548,1,5149,0.3,1544.7
CUST54164127,CUST99559288,1,5146,0.3,1543.8
CUST86108791,CUST49547303,1,5144.5,0.3,1543.35
CUST96201122,CUST64222586,1,5142,0.3,1542.6
CUST73457399,CUST87779877,1,5128,0.3,1538.4
CUST69895799,CUST70977942,3,5119,1,5119
EXTERNAL985862,CUST10409922,1,5116.5,0.3,1534.95
CUST36672855,EXTERNAL791420,1,5103,0.3,1530.9
CUST39470934,CUST12839658,1,5098,0.3,1529.4
CUST53655308,CUST39648535,1,5097,0.3,1529.1
CUST85508781,CUST35072124,1,5097,0.3,1529.1
EXTERNAL739373,CUST73800248,1,5086.5,0.3,1525.95
EXTERNAL525037,CUST55050625,1,5079,0.3,1523.7
CUST91714759,CUST96623800,1,5075.5,0.3,1522.65
CUST60300024,CUST34756871,1,5069,0.3,1520.7
EXTERNAL160928,CUST51794708,1,5046,0.3,1513.8
EXTERNAL758532,CUST45674350,2,5037,1,5037
EXTERNAL889091,CUST53440539,1,5034,0.3,1510.2
